SchoolCode;SchoolNameWithMunicipality;SchoolOrganisation;SchoolName;SchoolOrganisationNumberOfSchools;SchoolOrganisationNumberOfLowerStageSchools;SchoolOrganisationNumberOfMiddleStageSchools;SchoolOrganisationNumberOfUpperStageSchools;SchoolOrganisationNumberOfLowerAndMiddleStageSchools;SchoolOrganisationNumberOfMiddleAndUpperStageSchools;SchoolOrganisationNumberOfAllStagesSchools;SchoolStages;TotalNumberOfStudents;GradeFNumberOfStudents;Grade1NumberOfStudents;Grade2NumberOfStudents;Grade3NumberOfStudents;Grade4NumberOfStudents;Grade5NumberOfStudents;Grade6NumberOfStudents;Grade7NumberOfStudents;Grade8NumberOfStudents;Grade9NumberOfStudents;LowerStageNumberOfStudents;MiddleStageNumberOfStudents;UpperStageNumberOfStudents;ForeignBackgroundPercentage;ParentalEducationPercentage;StudentTeacherRatio;FullTimeTeachers;TeacherQualificationPercentage;ResultGrade6AverageScore;ResultGrade9AverageScore;ResultGrade3NationalExams;ForeignBackgroundComparison;ParentalEducationComparison;StudentTeacherRatioComparison;TeacherQualificationComparison;ResultCategoryGrade6AverageScore;ResultCategoryGrade9AverageScore;ResultCategoryGrade3NationalExams;MunicipalityNumberOfSchoolsManaged;MunicipalityNumberOfSchools;FirstSchoolyearInCurrentRecords;1819TotalNumberOfStudents;1819LowerStageNumberOfStudents;1819MiddleStageNumberOfStudents;1819UpperStageNumberOfStudents;1819ResultGrade6AverageScore;1819ResultGrade9AverageScore;1819ResultCategoryGrade6AverageScore;1819ResultCategoryGrade9AverageScore;1819ResultGrade3NationalExams;1819ResultCategoryGrade3NationalExams;1920TotalNumberOfStudents;1920LowerStageNumberOfStudents;1920MiddleStageNumberOfStudents;1920UpperStageNumberOfStudents;1920ResultGrade6AverageScore;1920ResultGrade9AverageScore;1920ResultCategoryGrade6AverageScore;1920ResultCategoryGrade9AverageScore;1920ResultGrade3NationalExams;1920ResultCategoryGrade3NationalExams;2021TotalNumberOfStudents;2021LowerStageNumberOfStudents;2021MiddleStageNumberOfStudents;2021UpperStageNumberOfStudents;2021ResultGrade6AverageScore;2021ResultGrade9AverageScore;2021ResultCategoryGrade6AverageScore;2021ResultCategoryGrade9AverageScore;2021ResultGrade3NationalExams;2021ResultCategoryGrade3NationalExams;2122TotalNumberOfStudents;2122LowerStageNumberOfStudents;2122MiddleStageNumberOfStudents;2122UpperStageNumberOfStudents;2122ResultGrade6AverageScore;2122ResultGrade9AverageScore;2122ResultCategoryGrade6AverageScore;2122ResultCategoryGrade9AverageScore;2122ResultGrade3NationalExams;2122ResultCategoryGrade3NationalExams;2223TotalNumberOfStudents;2223LowerStageNumberOfStudents;2223MiddleStageNumberOfStudents;2223UpperStageNumberOfStudents;2223ResultGrade6AverageScore;2223ResultGrade9AverageScore;2223ResultCategoryGrade6AverageScore;2223ResultCategoryGrade9AverageScore;2223ResultGrade3NationalExams;2223ResultCategoryGrade3NationalExams;SurveyAnswerCategoryParentsRegardingParentsReceivingInformationAboutTheirChildsDevelopment_2023/2024;SurveyAnswerCategoryParentsRegardingParentsSatisfactionWithTheirChildsSchool_2023/2024;SurveyAnswerCategoryParentsRegardingParentsPerceptionOfStudentInteractions_2023/2024;SurveyAnswerCategoryTeachersRegardingNecessaryDevelopmentMeasures_2023/2024;SurveyAnswerCategoryTeachersRegardingTeacherPerceptionOfStudentSupport_2023/2024;SurveyAnswerCategoryTeachersRegardingTeacherPerceptionOfStudentInteractions_2023/2024;SurveyAnswerCategoryGrade8RegardingClassroomDisruptions_2023/2024;SurveyAnswerCategoryGrade8RegardingAdultSupervisionDuringBreaks_2023/2024;SurveyAnswerCategoryGrade8RegardingStudentSatisfaction_2023/2024;SurveyAnswerCategoryGrade8RegardingStudentSafety_2023/2024;SurveyAnswerCategoryGrade5RegardingClassroomDisruptions_2023/2024;SurveyAnswerCategoryGrade5RegardingAdultSupervisionDuringBreaks_2023/2024;SurveyAnswerCategoryGrade5RegardingStudentSatisfaction_2023/2024;SurveyAnswerCategoryGrade5RegardingStudentSafety_2023/2024;SurveyAnswerCategoryParentsRegardingParentsReceivingInformationAboutTheirChildsDevelopment_2022/2023;SurveyAnswerCategoryParentsRegardingParentsSatisfactionWithTheirChildsSchool_2022/2023;SurveyAnswerCategoryParentsRegardingParentsPerceptionOfStudentInteractions_2022/2023;SurveyAnswerCategoryTeachersRegardingNecessaryDevelopmentMeasures_2022/2023;SurveyAnswerCategoryTeachersRegardingTeacherPerceptionOfStudentSupport_2022/2023;SurveyAnswerCategoryTeachersRegardingTeacherPerceptionOfStudentInteractions_2022/2023;SurveyAnswerCategoryGrade8RegardingClassroomDisruptions_2022/2023;SurveyAnswerCategoryGrade8RegardingAdultSupervisionDuringBreaks_2022/2023;SurveyAnswerCategoryGrade8RegardingStudentSatisfaction_2022/2023;SurveyAnswerCategoryGrade8RegardingStudentSafety_2022/2023;SurveyAnswerCategoryGrade5RegardingClassroomDisruptions_2022/2023;SurveyAnswerCategoryGrade5RegardingAdultSupervisionDuringBreaks_2022/2023;SurveyAnswerCategoryGrade5RegardingStudentSatisfaction_2022/2023;SurveyAnswerCategoryGrade5RegardingStudentSafety_2022/2023
braasskola;Braås skola i Växjö;Växjö kommun;Braås skola;38;5;0;4;24;1;4;Låg-, mellan- och högstadieskola;355;32.0;27.0;32.0;30.0;32.0;31.0;25.0;49.0;58.0;39.0;121;88;146;31.6;43.7;9;30;72.3;13.2;11.1;78.8;Över medel;Under medel;Under medel;Under medel;Medel;Under medel;Under medel;38;44;2013/2014;385.0;105.0;104.0;176.0;11.2;10.9;Under medel;Under medel;82.0;Under medel;381.0;111.0;94.0;176.0;10.0;12.1;Under medel;Under medel;;;389.0;121.0;98.0;170.0;11.1;12.9;Under medel;Under medel;;;362.0;125.0;96.0;141.0;12.1;12.1;Under medel;Under medel;76.4;Under medel;356;123;89;144;12.6;11.4;Under medel;Under medel;69.6;Under medel;Medel;Under medel;Under medel;Under medel;Under medel;Under medel;Medel;Över medel;Över medel;Över medel;Över medel;Medel;;Under medel;;;;;;;;;;;;;;
backaslovskolan;Bäckaslövskolan i Växjö;Växjö kommun;Bäckaslövskolan;38;5;0;4;24;1;4;Låg- och mellanstadieskola;322;48.0;50.0;50.0;40.0;50.0;48.0;36.0;;;;188;134;0;17.5;79.9;15;18;95.2;14.1;;97.0;Medel;Över medel;Över medel;Över medel;Över medel;;Över medel;38;44;2013/2014;292.0;201.0;91.0;0.0;;;;;98.5;Över medel;297.0;200.0;97.0;0.0;;;;;;;290.0;189.0;101.0;0.0;;;;;;;285.0;188.0;97.0;0.0;;;;;87.0;Under medel;287;189;98;0;;;;;91.9;Medel;Under medel;Över medel;Under medel;Över medel;Medel;Under medel;;;;;Under medel;Under medel;;Medel;;;;;;;;;;;;;;
centrumskolan;Centrumskolan i Växjö;Växjö kommun;Centrumskolan;38;5;0;4;24;1;4;Låg- och mellanstadieskola;363;43.0;48.0;50.0;60.0;57.0;55.0;50.0;;;;201;162;0;92.2;19.4;8;37;77.8;10.6;;78.9;Över medel;Under medel;Under medel;Medel;Under medel;;Under medel;38;44;2013/2014;368.0;237.0;131.0;0.0;10.6;;Under medel;;78.3;Under medel;378.0;228.0;150.0;0.0;8.0;;Under medel;;;;389.0;220.0;169.0;0.0;8.8;;Under medel;;;;395.0;225.0;170.0;0.0;10.8;;Under medel;;60.4;Under medel;382;215;167;0;9.0;;Under medel;;62.7;Under medel;;;;Under medel;Under medel;Under medel;;;;;Under medel;Medel;;Under medel;;;;;;;;;;;;;;
dadesjoskola;Dädesjö skola i Växjö;Växjö kommun;Dädesjö skola;38;5;0;4;24;1;4;Lågstadieskola;25;5.0;5.0;12.0;3.0;;;;;;;25;0;0;;75.0;13;1;50.0;;;;;Över medel;Medel;Under medel;;;;38;44;2013/2014;33.0;33.0;0.0;0.0;;;;;;;31.0;31.0;0.0;0.0;;;;;;;24.0;24.0;0.0;0.0;;;;;;;28.0;28.0;0.0;0.0;;;;;;;27;27;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
elinwagnerskolan;Elin Wägnerskolan i Växjö;Växjö kommun;Elin Wägnerskolan;38;5;0;4;24;1;4;Mellan- och högstadieskola;356;;;;;;;45.0;124.0;84.0;103.0;0;45;311;53.6;55.3;9;34;80.9;10.8;12.7;;Över medel;Medel;Under medel;Medel;Under medel;Under medel;;38;44;2016/2017;349.0;0.0;85.0;264.0;12.6;13.7;Under medel;Medel;;;387.0;0.0;79.0;308.0;12.8;13.7;Medel;Medel;;;388.0;0.0;63.0;325.0;12.6;13.0;Under medel;Under medel;;;400.0;0.0;74.0;326.0;13.8;12.7;Medel;Under medel;;;397;0;82;315;12.5;12.0;Under medel;Under medel;;;;;;Medel;Medel;Under medel;Över medel;Medel;Över medel;Över medel;;;;;;;;;;;;;;;;;;
fagrabackskolan;Fagrabäckskolan i Växjö;Växjö kommun;Fagrabäckskolan;38;5;0;4;24;1;4;Högstadieskola;389;;;;;;;;116.0;135.0;138.0;0;0;389;32.4;56.8;9;37;91.3;;13.1;;Över medel;Medel;Under medel;Över medel;;Medel;;38;44;2013/2014;600.0;0.0;0.0;600.0;;13.1;;Under medel;;;601.0;0.0;0.0;601.0;;12.6;;Under medel;;;473.0;0.0;0.0;473.0;;13.7;;Medel;;;406.0;0.0;0.0;406.0;;12.7;;Under medel;;;419;0;0;419;;13.0;;Under medel;;;;;;Medel;Över medel;Medel;Under medel;Medel;Medel;Under medel;;;;;;;;;;;;;;;;;;
furutaskolan;Furutåskolan i Växjö;Växjö kommun;Furutåskolan;38;5;0;4;24;1;4;Låg- och mellanstadieskola;232;33.0;38.0;37.0;32.0;36.0;35.0;21.0;;;;140;92;0;42.7;68.3;11;17;95.5;14.8;;95.0;Över medel;Medel;Medel;Över medel;Över medel;;Över medel;38;44;2013/2014;219.0;117.0;102.0;0.0;13.1;;Medel;;89.9;Under medel;218.0;127.0;91.0;0.0;12.8;;Medel;;;;236.0;136.0;100.0;0.0;12.3;;Under medel;;;;252.0;172.0;80.0;0.0;14.6;;Över medel;;91.1;Medel;235;154;81;0;15.4;;Över medel;;89.5;Medel;Medel;Över medel;Över medel;Över medel;Medel;Över medel;;;;;Medel;Medel;;Medel;;;;;;;;;;;;;;
furubyskola;Furuby skola i Växjö;Växjö kommun;Furuby skola;38;5;0;4;24;1;4;Låg- och mellanstadieskola;75;10.0;15.0;9.0;15.0;7.0;11.0;8.0;;;;49;26;0;;72.3;10;5;71.4;;;94.6;;Över medel;Under medel;Under medel;;;Över medel;38;44;2013/2014;67.0;43.0;24.0;0.0;;;;;;;62.0;35.0;27.0;0.0;;;;;;;67.0;39.0;28.0;0.0;12.5;;Under medel;;;;69.0;42.0;27.0;0.0;;;;;96.7;Över medel;74;44;30;0;13.2;;Medel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gemlaskola;Gemla skola i Växjö;Växjö kommun;Gemla skola;38;5;0;4;24;1;4;Låg- och mellanstadieskola;214;30.0;33.0;33.0;21.0;45.0;20.0;32.0;;;;117;97;0;6.5;62.0;12;14;76.0;13.6;;98.3;Under medel;Medel;Medel;Medel;Medel;;Över medel;38;44;2013/2014;169.0;93.0;76.0;0.0;13.6;;Medel;;94.3;Medel;189.0;111.0;78.0;0.0;13.5;;Medel;;;;195.0;119.0;76.0;0.0;13.6;;Medel;;;;203.0;123.0;80.0;0.0;13.2;;Medel;;90.9;Medel;207;131;76;0;13.6;;Medel;;90.8;Medel;Över medel;Över medel;Över medel;Medel;Medel;Medel;;;;;Över medel;Medel;;Över medel;;;;;;;;;;;;;;
gustavslundskolan;Gustavslundskolan i Växjö;Växjö kommun;Gustavslundskolan;38;5;0;4;24;1;4;Låg- och mellanstadieskola;356;49.0;48.0;50.0;44.0;64.0;63.0;38.0;;;;191;165;0;16.6;69.7;14;20;78.6;13.2;;91.7;Medel;Medel;Över medel;Medel;Medel;;Medel;38;44;2013/2014;394.0;203.0;191.0;0.0;13.4;;Medel;;98.8;Över medel;386.0;218.0;168.0;0.0;13.4;;Medel;;;;358.0;209.0;149.0;0.0;14.0;;Över medel;;;;360.0;222.0;138.0;0.0;13.8;;Medel;;91.8;Medel;358;209;149;0;13.4;;Medel;;84.9;Under medel;Under medel;Över medel;Under medel;Medel;Medel;Under medel;;;;;Under medel;Under medel;;Medel;;;;;;;;;;;;;;
hagavikskolan;Hagavikskolan i Växjö;Växjö kommun;Hagavikskolan;38;5;0;4;24;1;4;Högstadieskola;153;;;;;;;;42.0;39.0;72.0;0;0;153;13.7;81.7;11;12;82.6;;14.4;;Under medel;Över medel;Medel;Medel;;Över medel;;38;44;2020/2021;;;;;;;;;;;;;;;;;;;;;116.0;0.0;0.0;116.0;;;;;;;191.0;0.0;0.0;191.0;;14.6;;Över medel;;;163;0;0;163;;14.4;;Över medel;;;;;;Medel;Under medel;Över medel;Medel;Medel;Över medel;Medel;;;;;;;;;;;;;;;;;;
hovshagaskolan;Hovshagaskolan i Växjö;Växjö kommun;Hovshagaskolan;38;5;0;4;24;1;4;Låg- och mellanstadieskola;311;45.0;48.0;48.0;37.0;44.0;46.0;43.0;;;;178;133;0;27.8;72.9;12;21;90.0;12.4;;90.9;Medel;Över medel;Medel;Över medel;Under medel;;Medel;38;44;2013/2014;336.0;195.0;141.0;0.0;13.1;;Medel;;93.7;Medel;336.0;193.0;143.0;0.0;13.0;;Medel;;;;321.0;172.0;149.0;0.0;13.4;;Medel;;;;324.0;179.0;145.0;0.0;13.0;;Medel;;91.0;Medel;317;177;140;0;13.8;;Medel;;86.8;Under medel;Under medel;Medel;Under medel;Medel;Under medel;Medel;;;;;Över medel;Medel;;Över medel;;;;;;;;;;;;;;
hogstorpsskola;Högstorps skola i Växjö;Växjö kommun;Högstorps skola;38;5;0;4;24;1;4;Låg- och mellanstadieskola;301;43.0;44.0;39.0;46.0;48.0;47.0;34.0;;;;172;129;0;8.5;83.3;11;21;87.5;14.0;;93.8;Under medel;Över medel;Medel;Över medel;Över medel;;Medel;38;44;2013/2014;319.0;177.0;142.0;0.0;13.6;;Medel;;99.3;Över medel;321.0;177.0;144.0;0.0;14.0;;Över medel;;;;321.0;170.0;151.0;0.0;13.8;;Medel;;;;321.0;188.0;133.0;0.0;14.8;;Över medel;;95.4;Över medel;325;183;142;0;13.8;;Medel;;99.5;Över medel;Under medel;Medel;Medel;;;;;;;;Medel;Över medel;;Över medel;;;;;;;;;;;;;;
ingelstadskola;Ingelstad skola i Växjö;Växjö kommun;Ingelstad skola;38;5;0;4;24;1;4;Låg- och mellanstadieskola;259;36.0;29.0;34.0;40.0;41.0;44.0;35.0;;;;139;120;0;9.4;74.0;11;17;86.4;12.3;;89.7;Under medel;Över medel;Medel;Över medel;Under medel;;Medel;38;44;2013/2014;252.0;121.0;131.0;0.0;14.6;;Över medel;;93.5;Medel;238.0;123.0;115.0;0.0;13.8;;Medel;;;;259.0;136.0;123.0;0.0;12.7;;Under medel;;;;261.0;145.0;116.0;0.0;13.6;;Medel;;92.1;Medel;261;140;121;0;13.6;;Medel;;86.1;Under medel;Medel;Under medel;Under medel;Medel;Medel;Över medel;;;;;Medel;Över medel;;Över medel;;;;;;;;;;;;;;
internationellaengelskaskolanvaxjo;Internationella Engelska Skolan Växjö i Växjö;Internationella engelska skolan i sverige ab;Internationella Engelska Skolan Växjö;45;0;0;1;1;26;17;Låg-, mellan- och högstadieskola;296;36.0;43.0;23.0;24.0;33.0;30.0;29.0;42.0;36.0;;126;92;78;59.6;71.2;12;10;;13.3;;68.0;Över medel;Över medel;Medel;;Medel;;Under medel;38;44;2022/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220;100;68;52;10.6;;Under medel;;88.9;Medel;;;;;;;;;;;;;;;Över medel;Över medel;Över medel;Över medel;Över medel;Över medel;;;;;Under medel;Över medel;;Under medel
kalvsvikskola;Kalvsvik skola i Växjö;Växjö kommun;Kalvsvik skola;38;5;0;4;24;1;4;Lågstadieskola;36;8.0;11.0;7.0;10.0;;;;;;;36;0;0;;46.4;13;2;40.0;;;100.0;;Under medel;Medel;Under medel;;;Över medel;38;44;2013/2014;31.0;31.0;0.0;0.0;;;;;;;30.0;30.0;0.0;0.0;;;;;;;23.0;23.0;0.0;0.0;;;;;;;31.0;31.0;0.0;0.0;;;;;;;34;34;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kronobergskola;Kronoberg Skola i Växjö;Nordic international school ab;Kronoberg Skola;7;0;0;0;0;7;0;Mellan- och högstadieskola;551;;;;;25.0;26.0;79.0;142.0;138.0;141.0;0;130;421;37.7;78.0;15;18;;14.2;15.0;;Över medel;Över medel;Över medel;;Över medel;Över medel;;38;44;2013/2014;358.0;0.0;52.0;306.0;14.0;15.7;Över medel;Över medel;;;363.0;0.0;55.0;308.0;14.7;15.4;Över medel;Över medel;;;372.0;0.0;55.0;317.0;14.6;15.1;Över medel;Över medel;;;503.0;0.0;144.0;359.0;14.5;15.4;Över medel;Över medel;;;537;0;141;396;14.1;15.2;Över medel;Över medel;;;;;;Under medel;Under medel;Under medel;Över medel;Medel;Under medel;Medel;Medel;Under medel;;Under medel;;;;;;;;;;;;;;
lammhultsskola;Lammhults skola i Växjö;Växjö kommun;Lammhults skola;38;5;0;4;24;1;4;Låg-, mellan- och högstadieskola;354;33.0;35.0;22.0;29.0;36.0;34.0;41.0;46.0;35.0;43.0;119;111;124;32.7;42.7;8;34;84.4;12.7;13.4;89.0;Över medel;Under medel;Under medel;Medel;Under medel;Medel;Medel;38;44;2013/2014;443.0;192.0;117.0;134.0;11.0;11.0;Under medel;Under medel;80.0;Under medel;413.0;157.0;122.0;134.0;13.2;13.0;Medel;Under medel;;;382.0;147.0;129.0;106.0;12.3;13.4;Under medel;Medel;;;354.0;121.0;124.0;109.0;12.9;12.9;Medel;Under medel;87.2;Under medel;344;121;117;106;13.2;14.1;Medel;Medel;87.9;Medel;;;;Över medel;Medel;Under medel;Under medel;Under medel;Under medel;Under medel;Över medel;Medel;;Under medel;;;;;;;;;;;;;;
lillestadskolan;Lillestadskolan i Växjö;Växjö kommun;Lillestadskolan;38;5;0;4;24;1;4;Låg- och mellanstadieskola;334;48.0;46.0;50.0;45.0;50.0;49.0;46.0;;;;189;145;0;43.0;63.6;12;21;95.2;11.6;;88.1;Över medel;Medel;Medel;Över medel;Under medel;;Under medel;38;44;2013/2014;298.0;173.0;125.0;0.0;13.9;;Över medel;;91.3;Medel;312.0;174.0;138.0;0.0;13.4;;Medel;;;;323.0;192.0;131.0;0.0;12.9;;Medel;;;;331.0;193.0;138.0;0.0;13.8;;Medel;;86.3;Under medel;323;191;132;0;13.2;;Medel;;86.4;Under medel;Under medel;Under medel;Under medel;Över medel;Över medel;Under medel;;;;;Medel;Medel;;Under medel;;;;;;;;;;;;;;
